CustomerID	Gender	Age	Under30	SeniorCitizen	Married	Dependents	NumberOfDependents	ServiceID
2397-BRLOM	Male	67	No	Yes	Yes	No	0	S0170
8510-AWCXC	Female	69	No	Yes	No	No	0	S0171
8225-BTJAU	Male	75	No	Yes	No	No	0	S0172
1724-BQUHA	Male	67	No	Yes	No	No	0	S0173
4826-XTSOH	Male	66	No	Yes	Yes	No	0	S0174
2408-WITXK	Female	67	No	Yes	No	No	0	S0175
2634-HCZGT	Male	71	No	Yes	Yes	No	0	S0176
7503-QQRVF	Male	74	No	Yes	Yes	No	0	S0177
0709-TVGUR	Female	70	No	Yes	No	No	0	S0178
3001-CBHLQ	Male	76	No	Yes	Yes	No	0	S0179
4102-OQUPX	Male	67	No	Yes	Yes	No	0	S0180
3999-QGRJH	Male	80	No	Yes	No	No	0	S0181
2454-RPBRZ	Female	67	No	Yes	Yes	No	0	S0182
2265-CYWIV	Female	68	No	Yes	Yes	No	0	S0183
4550-VBOFE	Male	69	No	Yes	Yes	No	0	S0184
7409-KIUTL	Female	80	No	Yes	No	No	0	S0185
1732-VHUBQ	Female	73	No	Yes	Yes	No	0	S0186
0679-IDSTG	Female	73	No	Yes	Yes	No	0	S0187
8802-UNOJF	Male	65	No	Yes	No	No	0	S0188
6313-GIDIT	Male	73	No	Yes	No	No	0	S0189
2845-AFFTX	Male	78	No	Yes	Yes	No	0	S0190
2815-CPTUL	Male	68	No	Yes	No	No	0	S0191
1891-FZYSA	Male	65	No	Yes	Yes	No	0	S0192
9685-WKZGT	Male	67	No	Yes	No	No	0	S0193
6022-UGGSO	Female	70	No	Yes	No	No	0	S0194
3923-CSIHK	Female	69	No	Yes	Yes	No	0	S0195
3677-IYRBF	Female	73	No	Yes	No	No	0	S0196
8118-LSUEL	Male	74	No	Yes	No	No	0	S0197
5277-ZLOOR	Female	78	No	Yes	No	No	0	S0198
4248-HCETZ	Male	77	No	Yes	Yes	No	0	S0199
9174-FKWZE	Female	70	No	Yes	No	No	0	S0200
5307-DZCVC	Female	78	No	Yes	Yes	No	0	S0201
8679-JOEVF	Female	75	No	Yes	No	No	0	S0202
4803-AXVYP	Female	75	No	Yes	No	No	0	S0203
5649-ANRML	Male	76	No	Yes	No	No	0	S0204
7395-IGJOS	Male	70	No	Yes	Yes	No	0	S0205
7890-VYYWG	Male	67	No	Yes	Yes	No	0	S0206
9907-SWKKF	Female	69	No	Yes	No	No	0	S0207
6397-JNZZG	Female	70	No	Yes	Yes	No	0	S0208
7779-LGOVN	Male	74	No	Yes	Yes	No	0	S0209
9710-ZUSHQ	Female	77	No	Yes	No	No	0	S0210
3902-FOIGH	Male	66	No	Yes	Yes	No	0	S0211
3318-OSATS	Male	70	No	Yes	No	No	0	S0212
2636-ALXXZ	Female	68	No	Yes	No	No	0	S0213
9885-CSMWE	Female	65	No	Yes	No	No	0	S0214
8058-JMEQO	Female	76	No	Yes	No	No	0	S0215
7657-DYEPJ	Male	73	No	Yes	No	No	0	S0216
8276-MQBYC	Male	70	No	Yes	No	No	0	S0217
6015-VVHHE	Female	68	No	Yes	No	No	0	S0218
2516-VQRRV	Female	77	No	Yes	No	No	0	S0219
7580-UGXNC	Female	73	No	Yes	No	No	0	S0220
5178-LMXOP	Male	71	No	Yes	Yes	No	0	S0221
7056-IMHCC	Male	69	No	Yes	Yes	No	0	S0222
8749-JMNKX	Male	80	No	Yes	Yes	No	0	S0223
0917-EZOLA	Male	66	No	Yes	Yes	No	0	S0224
8414-MYSHR	Male	79	No	Yes	No	No	0	S0225
4988-IQIGL	Male	80	No	Yes	No	No	0	S0226
4706-AXVKM	Female	78	No	Yes	No	No	0	S0227
5889-JTMUL	Female	67	No	Yes	Yes	No	0	S0228
9026-RNUJS	Male	73	No	Yes	No	No	0	S0229
1624-NALOJ	Male	75	No	Yes	No	No	0	S0230
6210-KBBPI	Male	67	No	Yes	No	No	0	S0231
2260-USTRB	Female	75	No	Yes	No	No	0	S0232
8623-TMRBY	Male	80	No	Yes	Yes	No	0	S0233
6900-PXRMS	Male	72	No	Yes	Yes	No	0	S0234
3346-BRMIS	Female	70	No	Yes	Yes	No	0	S0235
2722-JMONI	Female	73	No	Yes	Yes	No	0	S0236
7579-OOPEC	Female	75	No	Yes	Yes	No	0	S0237
1771-OADNZ	Male	70	No	Yes	Yes	No	0	S0238
0612-RTZZA	Female	77	No	Yes	No	No	0	S0239
4433-JCGCG	Male	80	No	Yes	Yes	No	0	S0240
9488-HGMJH	Female	78	No	Yes	No	No	0	S0241
4818-QIUFN	Female	69	No	Yes	No	No	0	S0242
6961-VCPMC	Male	71	No	Yes	Yes	No	0	S0243
4424-TKOPW	Male	70	No	Yes	No	No	0	S0244
4201-JMNGR	Female	66	No	Yes	No	No	0	S0245
1866-RZZQS	Male	77	No	Yes	No	No	0	S0246
8631-NBHFZ	Male	71	No	Yes	Yes	No	0	S0247
4958-XCBDQ	Male	68	No	Yes	No	No	0	S0248
8337-UPOAQ	Male	71	No	Yes	Yes	No	0	S0249
6712-OAWRH	Female	79	No	Yes	No	No	0	S0250
5914-DVBWJ	Female	80	No	Yes	No	No	0	S0251
8644-XLFBW	Male	65	No	Yes	No	No	0	S0252
1833-VGRUM	Female	70	No	Yes	No	No	0	S0253
8374-XGEJJ	Male	68	No	Yes	Yes	No	0	S0254
6946-LMSQS	Male	80	No	Yes	Yes	No	0	S0255
4039-HEUNW	Male	77	No	Yes	Yes	No	0	S0256
0812-WUPTB	Male	65	No	Yes	Yes	No	0	S0257
2403-BCASL	Male	66	No	Yes	Yes	No	0	S0258
3871-IKPYH	Male	70	No	Yes	No	No	0	S0259
1304-NECVQ	Female	69	No	Yes	No	No	0	S0260
5655-JSMZM	Male	66	No	Yes	No	No	0	S0261
4505-EXZHB	Female	75	No	Yes	No	No	0	S0262
8972-HJWNV	Female	75	No	Yes	Yes	No	0	S0263
2860-RANUS	Female	67	No	Yes	No	No	0	S0264
0406-BPDVR	Female	75	No	Yes	Yes	No	0	S0265
5276-KQWHG	Female	74	No	Yes	No	No	0	S0266
9667-EQRXU	Female	74	No	Yes	No	No	0	S0267
0946-CLJTI	Male	67	No	Yes	Yes	No	0	S0268
0324-BRPCJ	Female	74	No	Yes	Yes	No	0	S0269
9189-JWSHV	Female	69	No	Yes	Yes	No	0	S0270
0576-WNXXC	Male	70	No	Yes	Yes	No	0	S0271
5482-PLVPE	Female	79	No	Yes	No	No	0	S0272
4902-OHLSK	Female	76	No	Yes	No	No	0	S0273
0495-ZBNGW	Male	78	No	Yes	Yes	No	0	S0274
2357-COQEK	Female	79	No	Yes	No	No	0	S0275
2034-CGRHZ	Male	73	No	Yes	No	No	0	S0276
9360-AHGNL	Female	74	No	Yes	Yes	No	0	S0277
5485-WUYWF	Male	73	No	Yes	No	No	0	S0278
2632-UCGVD	Male	71	No	Yes	Yes	No	0	S0279
6425-YQLLO	Female	68	No	Yes	Yes	No	0	S0280
2091-RFFBA	Female	70	No	Yes	No	No	0	S0281
6899-PPEEA	Female	66	No	Yes	No	No	0	S0282
4597-NUCQV	Male	65	No	Yes	No	No	0	S0283
3754-DXMRT	Male	78	No	Yes	No	No	0	S0284
7130-VTEWQ	Female	74	No	Yes	No	No	0	S0285
7903-CMPEY	Male	78	No	Yes	Yes	No	0	S0286
1704-NRWYE	Female	79	No	Yes	No	No	0	S0287
7481-ATQQS	Female	76	No	Yes	No	No	0	S0288
0023-HGHWL	Male	67	No	Yes	No	No	0	S0289
1792-UXAFY	Female	80	No	Yes	No	No	0	S0290
6161-UUUTA	Male	77	No	Yes	No	No	0	S0291
6543-XRMYR	Female	73	No	Yes	No	No	0	S0292
2479-BRAMR	Male	74	No	Yes	Yes	No	0	S0293
3714-JTVOV	Female	76	No	Yes	Yes	No	0	S0294
8580-QVLOC	Female	78	No	Yes	Yes	No	0	S0295
2012-NWRPA	Female	78	No	Yes	Yes	No	0	S0296
8808-ELEHO	Male	66	No	Yes	No	No	0	S0297
9058-CBREO	Female	69	No	Yes	No	No	0	S0298
8063-GBATB	Female	74	No	Yes	No	No	0	S0299
1069-XAIEM	Female	68	No	Yes	No	No	0	S0300
6987-XQSJT	Female	68	No	Yes	No	No	0	S0301
0722-TROQR	Female	68	No	Yes	No	No	0	S0302
6402-ZFPPI	Female	75	No	Yes	No	No	0	S0303
9965-YOKZB	Male	73	No	Yes	No	No	0	S0304
0504-HHAPI	Female	72	No	Yes	No	No	0	S0305
3791-LGQCY	Female	68	No	Yes	Yes	No	0	S0306
8166-ZZTFS	Female	74	No	Yes	Yes	No	0	S0307
2956-GGUCQ	Male	71	No	Yes	Yes	No	0	S0308
2778-OCLGR	Male	75	No	Yes	Yes	No	0	S0309
7067-KSAZT	Female	66	No	Yes	Yes	No	0	S0310
9300-AGZNL	Male	76	No	Yes	No	No	0	S0311
1112-CUNAO	Female	67	No	Yes	No	No	0	S0312
3389-YGYAI	Female	79	No	Yes	No	No	0	S0313
3070-DVEYC	Male	78	No	Yes	No	No	0	S0314
5707-ORNDZ	Male	79	No	Yes	No	No	0	S0315
8696-JKZNU	Female	78	No	Yes	No	No	0	S0316
2055-PDADH	Female	71	No	Yes	No	No	0	S0317
2302-ANTDP	Female	76	No	Yes	Yes	No	0	S0318
5233-GEEAX	Male	65	No	Yes	No	No	0	S0319
7137-RYLPP	Male	75	No	Yes	Yes	No	0	S0320
3957-LXOLK	Female	75	No	Yes	No	No	0	S0321
5281-BUZGT	Male	69	No	Yes	No	No	0	S0322
2718-GAXQD	Female	68	No	Yes	Yes	Yes	3	S0323
3217-FZDMN	Female	66	No	Yes	No	No	0	S0324
7480-QNVZJ	Male	65	No	Yes	No	No	0	S0325
7124-UGSUR	Female	77	No	Yes	Yes	No	0	S0326
1862-SKORY	Female	66	No	Yes	Yes	No	0	S0327
4816-JBHOV	Male	72	No	Yes	No	No	0	S0328
3247-ZVOUO	Male	77	No	Yes	Yes	No	0	S0329
1268-ASBGA	Female	66	No	Yes	Yes	No	0	S0330
4713-LZDRV	Female	80	No	Yes	No	No	0	S0331
4325-NFSKC	Male	68	No	Yes	No	No	0	S0332
6502-HCJTI	Male	78	No	Yes	Yes	No	0	S0333
8258-GSTJK	Male	74	No	Yes	No	No	0	S0334
2995-UPRYS	Female	74	No	Yes	Yes	No	0	S0335
6686-YPGHK	Male	65	No	Yes	No	No	0	S0336
8020-BWHYL	Female	70	No	Yes	No	No	0	S0337
6892-XPFPU	Male	70	No	Yes	Yes	No	0	S0338
8010-EZLOU	Male	75	No	Yes	No	No	0	S0339
8062-YBDOE	Male	70	No	Yes	No	No	0	S0340
3672-YITQD	Male	71	No	Yes	Yes	No	0	S0341
8988-ECPJR	Female	79	No	Yes	Yes	No	0	S0342
3776-EKTKM	Female	79	No	Yes	No	No	0	S0343
0643-OKLRP	Female	73	No	Yes	Yes	No	0	S0344
9381-NDKME	Female	74	No	Yes	Yes	No	0	S0345
8327-LZKAS	Female	80	No	Yes	Yes	No	0	S0346
1075-BGWOH	Male	69	No	Yes	Yes	No	0	S0347
8485-GJCDN	Female	71	No	Yes	No	No	0	S0348
6029-WTIPC	Male	73	No	Yes	No	No	0	S0349
3317-HRTNN	Female	79	No	Yes	No	No	0	S0350
5569-OUICF	Female	67	No	Yes	Yes	No	0	S0351
5747-PMBSQ	Male	72	No	Yes	Yes	No	0	S0352
2982-IHMFT	Female	75	No	Yes	No	No	0	S0353
5143-EGQFK	Female	76	No	Yes	No	No	0	S0354
6168-WFVVF	Female	69	No	Yes	No	No	0	S0355
7450-NWRTR	Male	76	No	Yes	No	No	0	S0356
6005-OBZPH	Female	68	No	Yes	No	No	0	S0357
7932-WPTDS	Female	77	No	Yes	Yes	No	0	S0358
7000-WCEVQ	Female	67	No	Yes	No	No	0	S0359
5959-BELXA	Male	67	No	Yes	No	No	0	S0360
2506-TNFCO	Female	76	No	Yes	Yes	No	0	S0361
6060-DRTNL	Female	66	No	Yes	No	No	0	S0362
8473-VUVJN	Male	80	No	Yes	No	No	0	S0363
0196-VULGZ	Female	78	No	Yes	Yes	No	0	S0364
1976-CFOCS	Female	69	No	Yes	Yes	No	0	S0365
4631-OACRM	Male	78	No	Yes	No	No	0	S0366
3755-JBMNH	Male	78	No	Yes	Yes	No	0	S0367
6345-ULYRW	Male	68	No	Yes	Yes	No	0	S0368
0013-EXCHZ	Female	75	No	Yes	Yes	No	0	S0369
5550-VFRLC	Female	70	No	Yes	No	No	0	S0370
2657-ALMWY	Female	65	No	Yes	Yes	No	0	S0371
6284-AHOOQ	Male	71	No	Yes	No	No	0	S0372
2460-FPSYH	Female	72	No	Yes	No	No	0	S0373
5028-HTLJB	Male	69	No	Yes	No	No	0	S0374
0875-CABNR	Female	70	No	Yes	No	No	0	S0375
6982-UQZLY	Female	80	No	Yes	Yes	No	0	S0376
0193-ESZXP	Female	73	No	Yes	Yes	No	0	S0377
4369-HTUIF	Male	73	No	Yes	No	No	0	S0378
5287-QWLKY	Male	79	No	Yes	Yes	No	0	S0379
1891-UAWWU	Female	79	No	Yes	Yes	No	0	S0380
3096-JRDSO	Female	73	No	Yes	Yes	No	0	S0381
2398-YPMUR	Female	77	No	Yes	Yes	No	0	S0382
1265-XTECC	Female	68	No	Yes	Yes	No	0	S0383
4871-JTKJF	Female	70	No	Yes	No	No	0	S0384
1415-YFWLT	Female	68	No	Yes	No	No	0	S0385
3500-RMZLT	Female	76	No	Yes	No	No	0	S0386
2642-DTVCO	Male	68	No	Yes	No	No	0	S0387
1363-TXLSL	Male	80	No	Yes	Yes	No	0	S0388
7136-RVDTZ	Male	79	No	Yes	No	No	0	S0389
6927-WTFIV	Male	78	No	Yes	No	No	0	S0390
3398-ZOUAA	Male	76	No	Yes	Yes	No	0	S0391
4844-JJWUY	Female	65	No	Yes	No	No	0	S0392
4785-QRJHC	Male	80	No	Yes	Yes	No	0	S0393
1965-AKTSX	Female	65	No	Yes	No	No	0	S0394
7248-VZQLC	Female	78	No	Yes	No	No	0	S0395
0011-IGKFF	Male	78	No	Yes	Yes	No	0	S0396
6496-SLWHQ	Male	68	No	Yes	No	No	0	S0397
9912-GVSEQ	Female	73	No	Yes	Yes	No	0	S0398
5383-MMTWC	Female	75	No	Yes	Yes	No	0	S0399
6877-LGWXO	Male	66	No	Yes	Yes	No	0	S0400
5167-GBFRE	Male	73	No	Yes	No	No	0	S0401
1324-NLTJE	Female	73	No	Yes	No	No	0	S0402
5567-WSELE	Male	70	No	Yes	Yes	No	0	S0403
6646-VRFOL	Male	74	No	Yes	Yes	No	0	S0404
9090-SGQXL	Male	70	No	Yes	Yes	No	0	S0405
6595-YGXIT	Male	71	No	Yes	No	No	0	S0406
9835-ZIITK	Male	66	No	Yes	Yes	No	0	S0407
5649-TJHOV	Male	68	No	Yes	Yes	No	0	S0408
9253-QXKBE	Male	73	No	Yes	Yes	No	0	S0409
8775-LHDJH	Female	77	No	Yes	Yes	No	0	S0410
3097-NQYSN	Male	73	No	Yes	Yes	No	0	S0411
3565-UNOCC	Female	65	No	Yes	Yes	No	0	S0412
9190-MFJLN	Male	65	No	Yes	No	No	0	S0413
1095-JUDTC	Female	78	No	Yes	No	No	0	S0414
5385-SUIRI	Male	69	No	Yes	Yes	No	0	S0415
6328-ZPBGN	Female	67	No	Yes	No	No	0	S0416
2856-NNASM	Male	74	No	Yes	No	No	0	S0417
6769-DYBQN	Male	77	No	Yes	No	No	0	S0418
2446-BEGGB	Female	79	No	Yes	No	No	0	S0419
1496-GGSUK	Female	68	No	Yes	No	No	0	S0420
3296-SILRA	Female	76	No	Yes	Yes	No	0	S0421
5180-UCIIQ	Male	80	No	Yes	Yes	Yes	2	S0422
1977-STDKI	Female	72	No	Yes	No	No	0	S0423
5813-UECBU	Male	78	No	Yes	No	No	0	S0424
4342-HENTK	Female	67	No	Yes	No	No	0	S0425
1597-LHYNC	Female	74	No	Yes	No	No	0	S0426
8651-ENBZX	Female	68	No	Yes	No	No	0	S0427
9286-DOJGF	Female	66	No	Yes	Yes	No	0	S0428
9661-MHUMO	Male	71	No	Yes	Yes	Yes	1	S0429
8884-ADFVN	Male	65	No	Yes	Yes	No	0	S0430
2720-WGKHP	Male	65	No	Yes	No	No	0	S0431
9776-CLUJA	Female	69	No	Yes	Yes	No	0	S0432
3551-HUAZH	Male	68	No	Yes	No	No	0	S0433
8634-MPHTR	Male	68	No	Yes	Yes	No	0	S0434
2474-BRUCM	Male	76	No	Yes	Yes	No	0	S0435
0616-ATFGB	Male	74	No	Yes	Yes	No	0	S0436
7235-NXZCP	Male	79	No	Yes	No	No	0	S0437
6661-HBGWL	Female	69	No	Yes	No	No	0	S0438
9317-WZPGV	Female	74	No	Yes	No	No	0	S0439
3621-CEOVK	Female	71	No	Yes	Yes	No	0	S0440
7632-MNYOY	Male	69	No	Yes	No	No	0	S0441
9248-OJYKK	Male	74	No	Yes	No	No	0	S0442
3398-FSHON	Female	79	No	Yes	No	No	0	S0443
3319-DWOEP	Male	69	No	Yes	Yes	No	0	S0444
0818-OCPZO	Male	80	No	Yes	No	No	0	S0445
1389-CXMLU	Male	65	No	Yes	No	No	0	S0446
5561-NWEVX	Female	78	No	Yes	Yes	No	0	S0447
2272-QAGFO	Female	75	No	Yes	No	No	0	S0448
3768-NLUBH	Male	73	No	Yes	Yes	No	0	S0449
